[2J[HCONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
6617d5cc82a4   redis_test_1000   184.39%   698.1MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   184.71%   698.1MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   184.71%   698.1MiB / 15.64GiB   4.36%     806B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   185.90%   694.1MiB / 15.64GiB   4.33%     876B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   185.90%   694.1MiB / 15.64GiB   4.33%     876B / 0B   0B / 0B     6
6617d5cc82a4   redis_test_1000   59.78%    693.4MiB / 15.64GiB   4.33%     876B / 0B   0B / 67.1MB   5
6617d5cc82a4   redis_test_1000   59.78%    693.4MiB / 15.64GiB   4.33%     876B / 0B   0B / 67.1MB   5
6617d5cc82a4   redis_test_1000   91.70%    698.7MiB / 15.64GiB   4.36%     876B / 0B   0B / 235MB   5
6617d5cc82a4   redis_test_1000   91.70%    698.7MiB / 15.64GiB   4.36%     876B / 0B   0B / 235MB   5
6617d5cc82a4   redis_test_1000   90.63%    704.1MiB / 15.64GiB   4.40%     876B / 0B   12.3kB / 436MB   5
6617d5cc82a4   redis_test_1000   90.63%    704.1MiB / 15.64GiB   4.40%     876B / 0B   12.3kB / 436MB   5

f44baee497b0   redis_test_2000   0.02%     904KiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
f44baee497b0   redis_test_2000   0.02%     904KiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
f44baee497b0   redis_test_2000   143.08%   204.9MiB / 15.64GiB   1.28%     486B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   143.08%   204.9MiB / 15.64GiB   1.28%     486B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.42%   467.1MiB / 15.64GiB   2.92%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.42%   467.1MiB / 15.64GiB   2.92%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.45%   695.7MiB / 15.64GiB   4.34%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.45%   695.7MiB / 15.64GiB   4.34%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.94%   886.7MiB / 15.64GiB   5.54%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.94%   886.7MiB / 15.64GiB   5.54%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.31%   1.026GiB / 15.64GiB   6.56%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.31%   1.026GiB / 15.64GiB   6.56%     736B / 0B   0B / 0B     6
f44baee497b0   redis_test_2000   194.52%   1.176GiB / 15.64GiB   7.52%     806B / 0B   0B / 0B     6
